T_Name|T_UpperStateQuantumNumbers|T_LowerStateQuantumNumbers|T_Frequency|T_EinsteinA|T_EnergyLower|T_UpperStateDegeneracy
CH3C9N;v=0;|ElecStateLabel = X; J = 4; K = 0; |ElecStateLabel = X; J = 3; K = 0; |1669.8958|1.01771e-09|0.083553|18
l-C7H2;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; |1701.2043|1.13251e-09|0.0|3
HC13N;v=0;|ElecStateLabel = X; J = 9; |ElecStateLabel = X; J = 8; |1925.5062|1.37012e-09|0.256912|19
HC11N;v=0;#1|ElecStateLabel = X; J = 6; |ElecStateLabel = X; J = 5; |2028.7551|1.72429e-09|0.16918|13
HC11N;v=0;|ElecStateLabel = X; J = 6; |ElecStateLabel = X; J = 5; |2028.7551|1.34215e-09|0.16918|13
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 3; parity = +; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 2; parity = -; kronigParity = e; |2064.5436|2.00803e-09|0.041443|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 2; parity = +; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 1; parity = -; kronigParity = e; |2065.0666|1.80763e-09|0.041443|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 3; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 2; parity = +; kronigParity = f; |2065.4019|2.01026e-09|0.041535|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 2; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 1; parity = +; kronigParity = f; |2066.0376|1.80973e-09|0.041429|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 2; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F_H = 1; parity = -; kronigParity = e; |2067.2154|1.20917e-09|27.53298|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 3; parity = +; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F_H = 2; parity = -; kronigParity = e; |2067.224|1.34367e-09|27.53298|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 3; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F_H = 2; parity = +; kronigParity = f; |2067.2241|1.34367e-09|27.53298|7
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 3; |ElecStateLabel = X; J = 4; K = 3; |2087.3208|1.30101e-09|47.531486|44
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 2; |ElecStateLabel = X; J = 4; K = 2; |2087.3479|1.70759e-09|21.204357|22
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 1; |ElecStateLabel = X; J = 4; K = 1; |2087.3642|1.95156e-09|5.405813|22
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 0; |ElecStateLabel = X; J = 4; K = 0; |2087.3696|2.03289e-09|0.139254|22
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 4; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 3; parity = +; kronigParity = e; |2108.2452|2.62959e-09|23.419669|8
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 3; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 2; parity = +; kronigParity = e; |2108.8101|2.19297e-09|0.050245|8
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 3; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 2; parity = -; kronigParity = f; |2108.8108|2.19297e-09|0.050245|8
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 4; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 3; parity = -; kronigParity = f; |2113.0059|2.64709e-09|23.420145|8
HC13N;v=0;|ElecStateLabel = X; J = 10; |ElecStateLabel = X; J = 9; |2139.4513|1.88969e-09|0.32114|21
DCCCCCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2181.2608|1.12263e-09|0.03638|5
HC-13-CCCCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2206.5758|1.16209e-09|0.036802|5
HC-13-CCCCCCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2206.6677|1.16233e-09|0.036809|7
HCCCCCCCN-15;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2209.0134|1.16611e-09|0.036842|5
HCC-13-CCCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2229.3288|1.19851e-09|0.037181|5
HCC-13-CCCCCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2229.4207|1.19848e-09|0.037188|7
HCCCCCCC-13-N;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2230.1574|1.19988e-09|0.037195|5
HCCCCCCC-13-N;v=0;hyp1|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2230.2493|1.19985e-09|0.037202|7
